Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2012Q1,S08000017,S08000024,NA,Breast,NA,3,NA,3,NA
2012Q1,S08000017,S08000024,NA,Cervical,NA,1,NA,1,NA
2012Q1,S08000017,S08000024,NA,Head & Neck,NA,3,NA,3,NA
2012Q1,S08000017,S08000024,NA,Lung,NA,3,NA,3,NA
2012Q1,S08000017,S08000024,NA,Melanoma,NA,1,NA,1,NA
2012Q1,S08000017,S08000024,NA,Ovarian,NA,1,NA,1,NA
2012Q1,S08000017,S08000024,NA,Upper GI,NA,5,NA,5,NA
2012Q1,S08000017,S08000024,NA,Urological,NA,14,NA,13,NA
2012Q1,S08000017,S08000031,NA,Colorectal,NA,1,NA,1,NA
2012Q1,S08000017,S08000031,NA,Head & Neck,NA,2,NA,2,NA
2012Q1,S08000017,SB0801,NA,Lung,NA,2,NA,2,NA
2012Q1,S08000019,S08000019,NA,Breast,NA,41,NA,40,NA
2012Q1,S08000019,S08000019,NA,Cervical,NA,1,NA,1,NA
2012Q1,S08000019,S08000019,NA,Colorectal,NA,43,NA,42,NA
2012Q1,S08000019,S08000019,NA,Head & Neck,NA,3,NA,3,NA
2012Q1,S08000019,S08000019,NA,Lung,NA,27,NA,27,NA
2012Q1,S08000019,S08000019,NA,Lymphoma,NA,12,NA,12,NA
2012Q1,S08000019,S08000019,NA,Melanoma,NA,9,NA,9,NA
2012Q1,S08000019,S08000019,NA,Ovarian,NA,6,NA,6,NA
2012Q1,S08000019,S08000019,NA,Upper GI,NA,20,NA,20,NA
2012Q1,S08000019,S08000019,NA,Urological,NA,64,NA,56,NA
2012Q1,S08000019,S08000024,NA,Lung,NA,1,NA,1,NA
2012Q1,S08000019,S08000031,NA,Breast,NA,2,NA,1,NA
2012Q1,S08000019,S08000031,NA,Cervical,NA,1,NA,0,NA
2012Q1,S08000019,S08000031,NA,Colorectal,NA,3,NA,3,NA
2012Q1,S08000019,S08000031,NA,Head & Neck,NA,7,NA,7,NA
2012Q1,S08000019,S08000031,NA,Lung,NA,22,NA,21,NA
2012Q1,S08000019,S08000031,NA,Ovarian,NA,3,NA,3,NA
2012Q1,S08000019,S08000031,NA,Upper GI,NA,8,NA,8,NA
2012Q1,S08000019,S08000031,NA,Urological,NA,1,NA,1,NA
2012Q1,S08000019,SB0801,NA,Lung,NA,6,NA,6,NA
2012Q1,S08000020,S08000020,NA,Breast,NA,122,NA,118,NA
2012Q1,S08000020,S08000020,NA,Cervical,NA,4,NA,4,NA
2012Q1,S08000020,S08000020,NA,Colorectal,NA,74,NA,73,NA
2012Q1,S08000020,S08000020,NA,Head & Neck,NA,23,NA,23,NA
2012Q1,S08000020,S08000020,NA,Lung,NA,68,NA,68,NA
2012Q1,S08000020,S08000020,NA,Lymphoma,NA,6,NA,6,NA
2012Q1,S08000020,S08000020,NA,Melanoma,NA,26,NA,26,NA
2012Q1,S08000020,S08000020,NA,Ovarian,NA,9,NA,9,NA
2012Q1,S08000020,S08000020,NA,Upper GI,NA,55,NA,54,NA
2012Q1,S08000020,S08000020,NA,Urological,NA,115,NA,105,NA
2012Q1,S08000020,S08000024,NA,Urological,NA,2,NA,2,NA
2012Q1,S08000022,S08000020,NA,Head & Neck,NA,1,NA,1,NA
2012Q1,S08000022,S08000020,NA,Ovarian,NA,1,NA,1,NA
2012Q1,S08000022,S08000022,NA,Breast,NA,58,NA,58,NA
2012Q1,S08000022,S08000022,NA,Cervical,NA,3,NA,3,NA
2012Q1,S08000022,S08000022,NA,Colorectal,NA,38,NA,36,NA
2012Q1,S08000022,S08000022,NA,Head & Neck,NA,13,NA,12,NA
2012Q1,S08000022,S08000022,NA,Lung,NA,43,NA,43,NA
2012Q1,S08000022,S08000022,NA,Lymphoma,NA,15,NA,15,NA
2012Q1,S08000022,S08000022,NA,Melanoma,NA,14,NA,14,NA
2012Q1,S08000022,S08000022,NA,Ovarian,NA,4,NA,4,NA
2012Q1,S08000022,S08000022,NA,Upper GI,NA,34,NA,34,NA
2012Q1,S08000022,S08000022,NA,Urological,NA,46,NA,43,NA
2012Q1,S08000022,S08000024,NA,Breast,NA,1,NA,1,NA
2012Q1,S08000022,S08000024,NA,Melanoma,NA,1,NA,1,NA
2012Q1,S08000022,S08000024,NA,Urological,NA,1,NA,1,NA
2012Q1,S08000022,S08000031,NA,Lung,NA,4,NA,4,NA
2012Q1,S08000022,S08000031,NA,Upper GI,NA,3,NA,3,NA
2012Q1,S08000022,S08000031,NA,Urological,NA,8,NA,8,NA
2012Q1,S08000022,SB0801,NA,Lung,NA,1,NA,1,NA
2012Q1,S08000024,S08000016,NA,Breast,NA,4,NA,4,NA
2012Q1,S08000024,S08000019,NA,Breast,NA,1,NA,1,NA
2012Q1,S08000024,S08000024,NA,Breast,NA,210,NA,210,NA
2012Q1,S08000024,S08000024,NA,Cervical,NA,6,NA,6,NA
2012Q1,S08000024,S08000024,NA,Colorectal,NA,139,NA,134,NA
2012Q1,S08000024,S08000024,NA,Head & Neck,NA,41,NA,41,NA
2012Q1,S08000024,S08000024,NA,Lung,NA,175,NA,175,NA
2012Q1,S08000024,S08000024,NA,Lymphoma,NA,34,NA,34,NA
2012Q1,S08000024,S08000024,NA,Melanoma,NA,50,NA,50,NA
2012Q1,S08000024,S08000024,NA,Ovarian,NA,21,NA,19,NA
2012Q1,S08000024,S08000024,NA,Upper GI,NA,51,NA,51,NA
2012Q1,S08000024,S08000024,NA,Urological,NA,197,NA,193,NA
2012Q1,S08000024,S08000029,NA,Breast,NA,3,NA,3,NA
2012Q1,S08000024,S08000030,NA,Urological,NA,1,NA,1,NA
2012Q1,S08000025,S08000020,NA,Breast,NA,1,NA,1,NA
2012Q1,S08000025,S08000020,NA,Colorectal,NA,2,NA,2,NA
2012Q1,S08000025,S08000020,NA,Head & Neck,NA,1,NA,1,NA
2012Q1,S08000025,S08000020,NA,Upper GI,NA,2,NA,2,NA
2012Q1,S08000025,S08000020,NA,Urological,NA,1,NA,1,NA
2012Q1,S08000025,S08000025,NA,Colorectal,NA,2,NA,2,NA
2012Q1,S08000025,S08000025,NA,Urological,NA,1,NA,1,NA
2012Q1,S08000026,S08000020,NA,Breast,NA,1,NA,1,NA
2012Q1,S08000026,S08000020,NA,Colorectal,NA,2,NA,2,NA
2012Q1,S08000026,S08000020,NA,Head & Neck,NA,1,NA,1,NA
2012Q1,S08000026,S08000020,NA,Lung,NA,2,NA,2,NA
2012Q1,S08000026,S08000020,NA,Lymphoma,NA,2,NA,2,NA
2012Q1,S08000026,S08000020,NA,Upper GI,NA,1,NA,1,NA
2012Q1,S08000026,S08000020,NA,Urological,NA,2,NA,2,NA
2012Q1,S08000026,S08000026,NA,Breast,NA,1,NA,1,NA
2012Q1,S08000026,S08000026,NA,Colorectal,NA,5,NA,5,NA
2012Q1,S08000026,S08000026,NA,Lung,NA,3,NA,3,NA
2012Q1,S08000026,S08000026,NA,Lymphoma,NA,1,NA,1,NA
2012Q1,S08000026,S08000026,NA,Melanoma,NA,1,NA,1,NA
2012Q1,S08000026,S08000026,NA,Upper GI,NA,1,NA,1,NA
2012Q1,S08000026,S08000026,NA,Urological,NA,7,NA,7,NA
2012Q1,S08000028,S08000022,NA,Colorectal,NA,2,NA,2,NA
2012Q1,S08000028,S08000022,NA,Head & Neck,NA,1,NA,1,NA
2012Q1,S08000028,S08000022,NA,Upper GI,NA,1,NA,1,NA
2012Q1,S08000028,S08000022,NA,Urological,NA,1,NA,1,NA
2012Q1,S08000028,S08000028,NA,Colorectal,NA,5,NA,5,NA
2012Q1,S08000028,S08000028,NA,Head & Neck,NA,3,NA,3,NA
2012Q1,S08000028,S08000028,NA,Lung,NA,5,NA,5,NA
2012Q1,S08000028,S08000028,NA,Melanoma,NA,1,NA,1,NA
2012Q1,S08000028,S08000028,NA,Upper GI,NA,2,NA,2,NA
2012Q1,S08000028,S08000028,NA,Urological,NA,2,NA,2,NA
2012Q1,S08000028,SB0801,NA,Lung,NA,2,NA,2,NA
2012Q1,S08000028,SB0801,NA,Upper GI,NA,1,NA,1,NA
2012Q1,S08000029,S08000024,NA,Breast,NA,2,NA,2,NA
2012Q1,S08000029,S08000024,NA,Cervical,NA,2,NA,2,NA
2012Q1,S08000029,S08000024,NA,Colorectal,NA,4,NA,4,NA
2012Q1,S08000029,S08000024,NA,Head & Neck,NA,20,NA,19,NA
2012Q1,S08000029,S08000024,NA,Lung,NA,23,NA,22,NA
2012Q1,S08000029,S08000024,NA,Lymphoma,NA,3,NA,3,NA
2012Q1,S08000029,S08000024,NA,Ovarian,NA,2,NA,2,NA
2012Q1,S08000029,S08000024,NA,Upper GI,NA,7,NA,7,NA
2012Q1,S08000029,S08000024,NA,Urological,NA,7,NA,6,NA
2012Q1,S08000029,S08000029,NA,Breast,NA,43,NA,43,NA
2012Q1,S08000029,S08000029,NA,Cervical,NA,1,NA,1,NA
2012Q1,S08000029,S08000029,NA,Colorectal,NA,42,NA,42,NA
2012Q1,S08000029,S08000029,NA,Head & Neck,NA,4,NA,4,NA
2012Q1,S08000029,S08000029,NA,Lung,NA,52,NA,52,NA
2012Q1,S08000029,S08000029,NA,Lymphoma,NA,10,NA,10,NA
2012Q1,S08000029,S08000029,NA,Melanoma,NA,9,NA,9,NA
2012Q1,S08000029,S08000029,NA,Ovarian,NA,4,NA,3,NA
2012Q1,S08000029,S08000029,NA,Upper GI,NA,23,NA,23,NA
2012Q1,S08000029,S08000029,NA,Urological,NA,95,NA,91,NA
2012Q1,S08000029,S08000030,NA,Lung,NA,4,NA,3,NA
2012Q1,S08000029,S08000030,NA,Upper GI,NA,1,NA,1,NA
2012Q1,S08000029,S08000030,NA,Urological,NA,2,NA,2,NA
2012Q1,S08000030,S08000020,NA,Lung,NA,1,NA,1,NA
2012Q1,S08000030,S08000024,NA,Lung,NA,6,NA,6,NA
2012Q1,S08000030,S08000030,NA,Breast,NA,106,NA,106,NA
2012Q1,S08000030,S08000030,NA,Cervical,NA,4,NA,4,NA
2012Q1,S08000030,S08000030,NA,Colorectal,NA,77,NA,75,NA
2012Q1,S08000030,S08000030,NA,Head & Neck,NA,21,NA,21,NA
2012Q1,S08000030,S08000030,NA,Lung,NA,51,NA,51,NA
2012Q1,S08000030,S08000030,NA,Lymphoma,NA,26,NA,26,NA
2012Q1,S08000030,S08000030,NA,Melanoma,NA,31,NA,30,NA
2012Q1,S08000030,S08000030,NA,Ovarian,NA,12,NA,12,NA
2012Q1,S08000030,S08000030,NA,Upper GI,NA,42,NA,42,NA
2012Q1,S08000030,S08000030,NA,Urological,NA,95,NA,89,NA
2012Q1,S08000031,S08000022,NA,Colorectal,NA,2,NA,2,NA
2012Q1,S08000031,S08000024,NA,Upper GI,NA,1,NA,1,NA
2012Q1,S08000031,S08000024,NA,Urological,NA,1,NA,1,NA
2012Q1,S08000031,S08000031,NA,Breast,NA,281,NA,280,NA
2012Q1,S08000031,S08000031,NA,Cervical,NA,11,NA,11,NA
2012Q1,S08000031,S08000031,NA,Colorectal,NA,182,NA,172,NA
2012Q1,S08000031,S08000031,NA,Head & Neck,NA,73,NA,69,NA
2012Q1,S08000031,S08000031,NA,Lung,NA,220,NA,215,NA
2012Q1,S08000031,S08000031,NA,Lymphoma,NA,43,NA,43,NA
2012Q1,S08000031,S08000031,NA,Melanoma,NA,75,NA,75,NA
2012Q1,S08000031,S08000031,NA,Ovarian,NA,16,NA,16,NA
2012Q1,S08000031,S08000031,NA,Upper GI,NA,168,NA,165,NA
2012Q1,S08000031,S08000031,NA,Urological,NA,261,NA,252,NA
2012Q1,S08000031,S08000032,NA,Breast,NA,4,NA,4,NA
2012Q1,S08000031,SB0801,NA,Lung,NA,45,NA,45,NA
2012Q1,S08000032,S08000031,NA,Breast,NA,2,NA,2,NA
2012Q1,S08000032,S08000031,NA,Cervical,NA,6,NA,6,NA
2012Q1,S08000032,S08000031,NA,Colorectal,NA,11,NA,10,NA
2012Q1,S08000032,S08000031,NA,Head & Neck,NA,6,NA,6,NA
2012Q1,S08000032,S08000031,NA,Lung,NA,38,NA,36,NA
2012Q1,S08000032,S08000031,NA,Lymphoma,NA,1,NA,0,NA
2012Q1,S08000032,S08000031,NA,Melanoma,NA,5,NA,5,NA
2012Q1,S08000032,S08000031,NA,Ovarian,NA,6,NA,6,NA
2012Q1,S08000032,S08000031,NA,Upper GI,NA,15,NA,15,NA
2012Q1,S08000032,S08000031,NA,Urological,NA,4,NA,4,NA
2012Q1,S08000032,S08000032,NA,Breast,NA,69,NA,69,NA
2012Q1,S08000032,S08000032,NA,Cervical,NA,5,NA,5,NA
2012Q1,S08000032,S08000032,NA,Colorectal,NA,68,NA,68,NA
2012Q1,S08000032,S08000032,NA,Head & Neck,NA,13,NA,13,NA
2012Q1,S08000032,S08000032,NA,Lung,NA,61,NA,61,NA
2012Q1,S08000032,S08000032,NA,Lymphoma,NA,26,NA,26,NA
2012Q1,S08000032,S08000032,NA,Melanoma,NA,25,NA,25,NA
2012Q1,S08000032,S08000032,NA,Ovarian,NA,5,NA,5,NA
2012Q1,S08000032,S08000032,NA,Upper GI,NA,36,NA,36,NA
2012Q1,S08000032,S08000032,NA,Urological,NA,84,NA,81,NA
2012Q1,S08000032,SB0801,NA,Lung,NA,16,NA,16,NA
2012Q2,S08000015,S08000015,NA,Breast,NA,97,NA,97,NA
2012Q2,S08000015,S08000015,NA,Cervical,NA,4,NA,4,NA
2012Q2,S08000015,S08000015,NA,Colorectal,NA,48,NA,46,NA
2012Q2,S08000015,S08000015,NA,Head & Neck,NA,16,NA,15,NA
2012Q2,S08000015,S08000015,NA,Lung,NA,49,NA,49,NA
2012Q2,S08000015,S08000015,NA,Lymphoma,NA,20,NA,20,NA
2012Q2,S08000015,S08000015,NA,Melanoma,NA,9,NA,9,NA
2012Q2,S08000015,S08000015,NA,Ovarian,NA,11,NA,11,NA
2012Q2,S08000015,S08000015,NA,Upper GI,NA,30,NA,30,NA
2012Q2,S08000015,S08000015,NA,Urological,NA,62,NA,62,NA
2012Q2,S08000015,S08000024,NA,Upper GI,NA,2,NA,2,NA
2012Q2,S08000015,S08000031,NA,Breast,NA,1,NA,0,NA
2012Q2,S08000015,S08000031,NA,Cervical,NA,3,NA,3,NA
2012Q2,S08000015,S08000031,NA,Colorectal,NA,7,NA,6,NA
2012Q2,S08000015,S08000031,NA,Head & Neck,NA,10,NA,10,NA
2012Q2,S08000015,S08000031,NA,Lung,NA,15,NA,15,NA
2012Q2,S08000015,S08000031,NA,Lymphoma,NA,1,NA,1,NA
2012Q2,S08000015,S08000031,NA,Melanoma,NA,3,NA,3,NA
2012Q2,S08000015,S08000031,NA,Ovarian,NA,1,NA,1,NA
2012Q2,S08000015,S08000031,NA,Upper GI,NA,17,NA,17,NA
2012Q2,S08000015,S08000031,NA,Urological,NA,1,NA,1,NA
2012Q2,S08000015,SB0801,NA,Lung,NA,5,NA,5,NA
2012Q2,S08000016,S08000016,NA,Breast,NA,12,NA,12,NA
2012Q2,S08000016,S08000016,NA,Cervical,NA,1,NA,1,NA
2012Q2,S08000016,S08000016,NA,Colorectal,NA,22,NA,22,NA
2012Q2,S08000016,S08000016,NA,Head & Neck,NA,1,NA,1,NA
2012Q2,S08000016,S08000016,NA,Lung,NA,14,NA,14,NA
2012Q2,S08000016,S08000016,NA,Lymphoma,NA,6,NA,6,NA
2012Q2,S08000016,S08000016,NA,Melanoma,NA,14,NA,14,NA
2012Q2,S08000016,S08000016,NA,Ovarian,NA,5,NA,5,NA
2012Q2,S08000016,S08000016,NA,Upper GI,NA,19,NA,19,NA
2012Q2,S08000016,S08000016,NA,Urological,NA,28,NA,28,NA
2012Q2,S08000016,S08000024,NA,Head & Neck,NA,3,NA,2,NA
2012Q2,S08000016,S08000024,NA,Lung,NA,1,NA,1,NA
2012Q2,S08000016,S08000024,NA,Ovarian,NA,1,NA,1,NA
2012Q2,S08000016,S08000024,NA,Upper GI,NA,2,NA,2,NA
2012Q2,S08000016,S08000024,NA,Urological,NA,6,NA,5,NA
2012Q2,S08000017,S08000017,NA,Breast,NA,20,NA,20,NA
2012Q2,S08000017,S08000017,NA,Colorectal,NA,35,NA,34,NA
2012Q2,S08000017,S08000017,NA,Head & Neck,NA,3,NA,3,NA
2012Q2,S08000017,S08000017,NA,Lung,NA,31,NA,31,NA
2012Q2,S08000017,S08000017,NA,Lymphoma,NA,9,NA,9,NA
2012Q2,S08000017,S08000017,NA,Melanoma,NA,4,NA,4,NA
2012Q2,S08000017,S08000017,NA,Ovarian,NA,2,NA,2,NA
2012Q2,S08000017,S08000017,NA,Upper GI,NA,15,NA,15,NA
2012Q2,S08000017,S08000017,NA,Urological,NA,26,NA,26,NA
2012Q2,S08000017,S08000024,NA,Cervical,NA,1,NA,0,NA
2012Q2,S08000017,S08000024,NA,Colorectal,NA,1,NA,1,NA
2012Q2,S08000017,S08000024,NA,Head & Neck,NA,4,NA,4,NA
2012Q2,S08000017,S08000024,NA,Lung,NA,10,NA,10,NA
2012Q2,S08000017,S08000024,NA,Lymphoma,NA,1,NA,1,NA
2012Q2,S08000017,S08000024,NA,Upper GI,NA,1,NA,1,NA
2012Q2,S08000017,S08000024,NA,Urological,NA,12,NA,11,NA
2012Q2,S08000017,S08000031,NA,Head & Neck,NA,1,NA,1,NA
2012Q2,S08000017,SB0801,NA,Lung,NA,2,NA,2,NA
2012Q2,S08000019,S08000019,NA,Breast,NA,54,NA,54,NA
2012Q2,S08000019,S08000019,NA,Cervical,NA,1,NA,1,NA
2012Q2,S08000019,S08000019,NA,Colorectal,NA,49,NA,47,NA
2012Q2,S08000019,S08000019,NA,Head & Neck,NA,7,NA,7,NA
2012Q2,S08000019,S08000019,NA,Lung,NA,23,NA,23,NA
2012Q2,S08000019,S08000019,NA,Lymphoma,NA,12,NA,12,NA
2012Q2,S08000019,S08000019,NA,Melanoma,NA,7,NA,7,NA
2012Q2,S08000019,S08000019,NA,Ovarian,NA,1,NA,1,NA
2012Q2,S08000019,S08000019,NA,Upper GI,NA,21,NA,21,NA
2012Q2,S08000019,S08000019,NA,Urological,NA,56,NA,43,NA
2012Q2,S08000019,S08000024,NA,Upper GI,NA,1,NA,1,NA
2012Q2,S08000019,S08000031,NA,Breast,NA,3,NA,3,NA
2012Q2,S08000019,S08000031,NA,Cervical,NA,1,NA,1,NA
2012Q2,S08000019,S08000031,NA,Colorectal,NA,6,NA,6,NA
2012Q2,S08000019,S08000031,NA,Head & Neck,NA,9,NA,9,NA
2012Q2,S08000019,S08000031,NA,Lung,NA,14,NA,14,NA
2012Q2,S08000019,S08000031,NA,Ovarian,NA,3,NA,3,NA
2012Q2,S08000019,S08000031,NA,Upper GI,NA,7,NA,7,NA
2012Q2,S08000019,S08000031,NA,Urological,NA,4,NA,4,NA
2012Q2,S08000019,SB0801,NA,Lung,NA,13,NA,13,NA
2012Q2,S08000020,S08000020,NA,Breast,NA,99,NA,99,NA
2012Q2,S08000020,S08000020,NA,Cervical,NA,7,NA,7,NA
2012Q2,S08000020,S08000020,NA,Colorectal,NA,96,NA,96,NA
2012Q2,S08000020,S08000020,NA,Head & Neck,NA,22,NA,21,NA
2012Q2,S08000020,S08000020,NA,Lung,NA,68,NA,68,NA
2012Q2,S08000020,S08000020,NA,Lymphoma,NA,38,NA,37,NA
2012Q2,S08000020,S08000020,NA,Melanoma,NA,24,NA,24,NA
2012Q2,S08000020,S08000020,NA,Ovarian,NA,9,NA,9,NA
2012Q2,S08000020,S08000020,NA,Upper GI,NA,52,NA,52,NA
2012Q2,S08000020,S08000020,NA,Urological,NA,126,NA,122,NA
2012Q2,S08000020,S08000022,NA,Upper GI,NA,1,NA,1,NA
2012Q2,S08000020,S08000024,NA,Urological,NA,1,NA,1,NA
2012Q2,S08000020,S08000025,NA,Breast,NA,1,NA,1,NA
2012Q2,S08000022,S08000020,NA,Lung,NA,2,NA,2,NA
2012Q2,S08000022,S08000020,NA,Ovarian,NA,1,NA,1,NA
2012Q2,S08000022,S08000022,NA,Breast,NA,60,NA,60,NA
2012Q2,S08000022,S08000022,NA,Cervical,NA,4,NA,4,NA
2012Q2,S08000022,S08000022,NA,Colorectal,NA,45,NA,45,NA
2012Q2,S08000022,S08000022,NA,Head & Neck,NA,12,NA,11,NA
2012Q2,S08000022,S08000022,NA,Lung,NA,54,NA,54,NA
2012Q2,S08000022,S08000022,NA,Lymphoma,NA,17,NA,17,NA
2012Q2,S08000022,S08000022,NA,Melanoma,NA,10,NA,10,NA
2012Q2,S08000022,S08000022,NA,Ovarian,NA,5,NA,5,NA
2012Q2,S08000022,S08000022,NA,Upper GI,NA,29,NA,29,NA
2012Q2,S08000022,S08000022,NA,Urological,NA,60,NA,53,NA
2012Q2,S08000022,S08000024,NA,Lung,NA,1,NA,1,NA
2012Q2,S08000022,S08000031,NA,Colorectal,NA,1,NA,1,NA
2012Q2,S08000022,S08000031,NA,Head & Neck,NA,1,NA,1,NA
2012Q2,S08000022,S08000031,NA,Lung,NA,1,NA,1,NA
2012Q2,S08000022,S08000031,NA,Ovarian,NA,1,NA,0,NA
2012Q2,S08000022,S08000031,NA,Upper GI,NA,2,NA,2,NA
2012Q2,S08000022,SB0801,NA,Lung,NA,1,NA,1,NA
2012Q2,S08000024,S08000016,NA,Breast,NA,1,NA,1,NA
2012Q2,S08000024,S08000019,NA,Breast,NA,4,NA,4,NA
2012Q2,S08000024,S08000024,NA,Breast,NA,201,NA,201,NA
2012Q2,S08000024,S08000024,NA,Cervical,NA,5,NA,3,NA
2012Q2,S08000024,S08000024,NA,Colorectal,NA,119,NA,108,NA
2012Q2,S08000024,S08000024,NA,Head & Neck,NA,55,NA,54,NA
2012Q2,S08000024,S08000024,NA,Lung,NA,162,NA,162,NA
2012Q2,S08000024,S08000024,NA,Lymphoma,NA,37,NA,37,NA
2012Q2,S08000024,S08000024,NA,Melanoma,NA,49,NA,49,NA
2012Q2,S08000024,S08000024,NA,Ovarian,NA,27,NA,24,NA
2012Q2,S08000024,S08000024,NA,Upper GI,NA,80,NA,80,NA
2012Q2,S08000024,S08000024,NA,Urological,NA,145,NA,134,NA
2012Q2,S08000024,S08000029,NA,Breast,NA,1,NA,1,NA
2012Q2,S08000025,S08000020,NA,Breast,NA,2,NA,2,NA
2012Q2,S08000025,S08000020,NA,Colorectal,NA,1,NA,1,NA
2012Q2,S08000025,S08000020,NA,Lymphoma,NA,2,NA,2,NA
2012Q2,S08000025,S08000020,NA,Urological,NA,2,NA,2,NA
2012Q2,S08000025,S08000025,NA,Upper GI,NA,2,NA,2,NA
2012Q2,S08000026,S08000020,NA,Head & Neck,NA,1,NA,1,NA
2012Q2,S08000026,S08000020,NA,Ovarian,NA,1,NA,1,NA
2012Q2,S08000026,S08000020,NA,Urological,NA,3,NA,3,NA
2012Q2,S08000026,S08000026,NA,Breast,NA,1,NA,1,NA
2012Q2,S08000026,S08000026,NA,Colorectal,NA,2,NA,2,NA
2012Q2,S08000026,S08000026,NA,Lymphoma,NA,1,NA,1,NA
2012Q2,S08000026,S08000026,NA,Melanoma,NA,1,NA,1,NA
2012Q2,S08000026,S08000026,NA,Upper GI,NA,1,NA,1,NA
2012Q2,S08000026,S08000026,NA,Urological,NA,6,NA,6,NA
2012Q2,S08000026,S08000031,NA,Upper GI,NA,1,NA,1,NA
2012Q2,S08000028,S08000022,NA,Colorectal,NA,3,NA,3,NA
2012Q2,S08000028,S08000022,NA,Lung,NA,1,NA,1,NA
2012Q2,S08000028,S08000022,NA,Upper GI,NA,3,NA,3,NA
2012Q2,S08000028,S08000022,NA,Urological,NA,4,NA,4,NA
2012Q2,S08000028,S08000028,NA,Colorectal,NA,4,NA,4,NA
2012Q2,S08000028,S08000028,NA,Head & Neck,NA,1,NA,1,NA
